elapsed_s,avg_cpu_pct,energy_j_total,energy_j_frame,wh_per_frame,wh_per_1000,mean_ms,fps,status,dataset,model,format,type,tdp_w
0.418,75.6,4.7426,0.094852,2.635e-05,0.02635,8.36,119.6,ok,DAGM,efficientnet_b0,onnx_fp32,cnn,15.0
5.453,82.6,67.5573,1.351147,0.00037532,0.37532,109.05,9.2,ok,DAGM,efficientnet_b0,onnx_int8,cnn,15.0
0.616,11.0,1.0126,0.020251,5.63e-06,0.00563,12.33,81.1,ok,DAGM,efficientnet_b0,tflite_fp32,cnn,15.0
2.238,10.0,3.367,0.06734,1.871e-05,0.01871,44.76,22.3,ok,DAGM,efficientnet_b0,tflite_int8,cnn,15.0
0.207,66.3,2.055,0.0411,1.142e-05,0.01142,4.13,242.1,ok,DAGM,mobilenet_v3_large,onnx_fp32,cnn,15.0
3.051,82.2,37.6095,0.75219,0.00020894,0.20894,61.02,16.4,ok,DAGM,mobilenet_v3_large,onnx_int8,cnn,15.0
0.306,7.9,0.361,0.00722,2.01e-06,0.00201,6.11,163.5,ok,DAGM,mobilenet_v3_large,tflite_fp32,cnn,15.0
1.04,10.8,1.6824,0.033647,9.35e-06,0.00935,20.81,48.1,ok,DAGM,mobilenet_v3_large,tflite_int8,cnn,15.0
1.704,88.7,22.6664,0.453327,0.00012592,0.12592,34.08,29.3,ok,KSDD2,resnet50,onnx_fp32,cnn,15.0
17.015,83.4,212.8445,4.25689,0.00118247,1.18247,340.3,2.9,ok,KSDD2,resnet50,onnx_int8,cnn,15.0
3.863,9.0,5.2416,0.104833,2.912e-05,0.02912,77.25,12.9,ok,KSDD2,resnet50,tflite_fp32,cnn,15.0
1.424,8.5,1.8153,0.036307,1.009e-05,0.01009,28.49,35.1,ok,KSDD2,resnet50,tflite_int8,cnn,15.0
0.396,72.3,4.3027,0.086054,2.39e-05,0.0239,7.93,126.1,ok,KSDD2,efficientnet_b0,onnx_fp32,cnn,15.0
5.206,82.8,64.6839,1.293678,0.00035936,0.35936,104.11,9.6,ok,KSDD2,efficientnet_b0,onnx_int8,cnn,15.0
0.599,8.4,0.7515,0.01503,4.17e-06,0.00417,11.99,83.4,ok,KSDD2,efficientnet_b0,tflite_fp32,cnn,15.0
2.182,9.1,2.9817,0.059634,1.656e-05,0.01656,43.63,22.9,ok,KSDD2,efficientnet_b0,tflite_int8,cnn,15.0
0.195,62.5,1.8316,0.036633,1.018e-05,0.01018,3.91,255.8,ok,KSDD2,mobilenet_v3_large,onnx_fp32,cnn,15.0
2.974,82.2,36.6818,0.733635,0.00020379,0.20379,59.47,16.8,ok,KSDD2,mobilenet_v3_large,onnx_int8,cnn,15.0
0.303,7.7,0.3479,0.006958,1.93e-06,0.00193,6.05,165.3,ok,KSDD2,mobilenet_v3_large,tflite_fp32,cnn,15.0
1.032,10.0,1.5444,0.030888,8.58e-06,0.00858,20.64,48.4,ok,KSDD2,mobilenet_v3_large,tflite_int8,cnn,15.0
