load_ms,mean_ms,std_ms,p50_ms,p95_ms,fps,status,dataset,model,format,type,size_mb,error
18.1,6.11,0.41,5.98,6.99,163.6,ok,DAGM,mobilenet_v3_large,tflite_fp32,cnn,16.82,
7.3,20.89,0.66,20.73,21.93,47.9,ok,DAGM,mobilenet_v3_large,tflite_int8,cnn,4.52,
270.9,33.83,1.16,33.78,35.64,29.6,ok,KSDD2,resnet50,onnx_fp32,cnn,94.15,
,,,,,,error,KSDD2,resnet50,onnx_int8,cnn,23.74,[ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for ConvInteger(10) node with name 'node_Conv_753_quant'
120.9,83.19,2.13,83.06,86.64,12.0,ok,KSDD2,resnet50,tflite_fp32,cnn,93.97,
30.2,28.77,0.95,28.66,30.42,34.8,ok,KSDD2,resnet50,tflite_int8,cnn,23.91,
68.3,9.93,0.79,9.99,10.89,100.7,ok,KSDD2,efficientnet_b0,onnx_fp32,cnn,16.52,
,,,,,,error,KSDD2,efficientnet_b0,onnx_int8,cnn,4.54,[ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for ConvInteger(10) node with name 'node_Conv_778_quant'
16.8,12.52,0.65,12.38,13.9,79.9,ok,KSDD2,efficientnet_b0,tflite_fp32,cnn,16.02,
7.8,45.71,1.03,45.62,47.26,21.9,ok,KSDD2,efficientnet_b0,tflite_int8,cnn,4.52,
65.3,5.35,0.43,5.49,5.9,186.8,ok,KSDD2,mobilenet_v3_large,onnx_fp32,cnn,17.08,
,,,,,,error,KSDD2,mobilenet_v3_large,onnx_int8,cnn,4.49,[ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for ConvInteger(10) node with name 'node_Conv_671_quant'
17.9,6.04,0.42,5.9,7.01,165.5,ok,KSDD2,mobilenet_v3_large,tflite_fp32,cnn,16.82,
6.8,20.91,0.51,20.81,21.81,47.8,ok,KSDD2,mobilenet_v3_large,tflite_int8,cnn,4.52,
