file,path,format,size_mb
KSDD2_yolov8n_best_float32,yolo/full/KSDD2_yolov8n_best_saved_model/KSDD2_yolov8n_best_float32.tflite,tflite,12.28
KSDD2_yolov8n_int8,yolo/quantized/KSDD2_yolov8n_int8.onnx,onnx,3.4
KSDD2_yolov8s,yolo/onnx/KSDD2_yolov8s.onnx,onnx,44.79
KSDD2_yolov8s,yolo/tflite/KSDD2_yolov8s.tflite,tflite,12.28
KSDD2_yolov8s_best,yolo/full/KSDD2_yolov8s_best.onnx,onnx,44.83
KSDD2_yolov8s_best,yolo/full/KSDD2_yolov8s_best.pt,pt,22.52
KSDD2_yolov8s_best_float16,yolo/full/KSDD2_yolov8s_best_saved_model/KSDD2_yolov8s_best_float16.tflite,tflite,22.42
KSDD2_yolov8s_best_float32,yolo/full/KSDD2_yolov8s_best_saved_model/KSDD2_yolov8s_best_float32.tflite,tflite,44.76
KSDD2_yolov8s_int8,yolo/quantized/KSDD2_yolov8s_int8.onnx,onnx,11.53
NEU-DET_efficientnet_b0,cnn/onnx/NEU-DET_efficientnet_b0.onnx,onnx,16.01
NEU-DET_efficientnet_b0,cnn/tflite/NEU-DET_efficientnet_b0.tflite,tflite,16.03
NEU-DET_efficientnet_b0_best,cnn/full/NEU-DET_efficientnet_b0_best.pth,pth,16.36
NEU-DET_efficientnet_b0_fp32_sanitized,cnn/onnx/NEU-DET_efficientnet_b0_fp32_sanitized.onnx,onnx,16.53
NEU-DET_efficientnet_b0_int8,cnn/quantized/NEU-DET_efficientnet_b0_int8.onnx,onnx,4.54
NEU-DET_efficientnet_b0_int8,cnn/quantized/NEU-DET_efficientnet_b0_int8.tflite,tflite,4.53
NEU-DET_efficientnet_b0_pruned,cnn/pruned/NEU-DET_efficientnet_b0_pruned.pth,pth,16.36
NEU-DET_mobilenet_v3_large,cnn/onnx/NEU-DET_mobilenet_v3_large.onnx,onnx,16.81
NEU-DET_mobilenet_v3_large,cnn/tflite/NEU-DET_mobilenet_v3_large.tflite,tflite,16.83
NEU-DET_mobilenet_v3_large_best,cnn/full/NEU-DET_mobilenet_v3_large_best.pth,pth,17.05
NEU-DET_mobilenet_v3_large_fp32_sanitized,cnn/onnx/NEU-DET_mobilenet_v3_large_fp32_sanitized.onnx,onnx,17.1
NEU-DET_mobilenet_v3_large_int8,cnn/quantized/NEU-DET_mobilenet_v3_large_int8.onnx,onnx,4.5
NEU-DET_mobilenet_v3_large_int8,cnn/quantized/NEU-DET_mobilenet_v3_large_int8.tflite,tflite,4.53
NEU-DET_mobilenet_v3_large_pruned,cnn/pruned/NEU-DET_mobilenet_v3_large_pruned.pth,pth,17.04
NEU-DET_resnet50,cnn/onnx/NEU-DET_resnet50.onnx,onnx,93.99
NEU-DET_resnet50,cnn/tflite/NEU-DET_resnet50.tflite,tflite,94.0
NEU-DET_resnet50_best,cnn/full/NEU-DET_resnet50_best.pth,pth,94.4
NEU-DET_resnet50_int8,cnn/quantized/NEU-DET_resnet50_int8.onnx,onnx,23.75
NEU-DET_resnet50_int8,cnn/quantized/NEU-DET_resnet50_int8.tflite,tflite,23.92
NEU-DET_resnet50_pruned,cnn/pruned/NEU-DET_resnet50_pruned.pth,pth,94.39
NEU-DET_resnet50_sanitized,cnn/onnx/NEU-DET_resnet50_sanitized.onnx,onnx,94.17
NEU-DET_yolov8n,yolo/onnx/NEU-DET_yolov8n.onnx,onnx,12.31
NEU-DET_yolov8n,yolo/tflite/NEU-DET_yolov8n.tflite,tflite,12.28
NEU-DET_yolov8n_best,yolo/full/NEU-DET_yolov8n_best.onnx,onnx,12.36
NEU-DET_yolov8n_best,yolo/full/NEU-DET_yolov8n_best.pt,pt,6.26
NEU-DET_yolov8n_best_float16,yolo/full/NEU-DET_yolov8n_best_saved_model/NEU-DET_yolov8n_best_float16.tflite,tflite,6.19
NEU-DET_yolov8n_best_float32,yolo/full/NEU-DET_yolov8n_best_saved_model/NEU-DET_yolov8n_best_float32.tflite,tflite,12.28
NEU-DET_yolov8n_int8,yolo/quantized/NEU-DET_yolov8n_int8.onnx,onnx,3.4
NEU-DET_yolov8s,yolo/onnx/NEU-DET_yolov8s.onnx,onnx,44.8
NEU-DET_yolov8s,yolo/tflite/NEU-DET_yolov8s.tflite,tflite,12.28
NEU-DET_yolov8s_best,yolo/full/NEU-DET_yolov8s_best.onnx,onnx,44.84
NEU-DET_yolov8s_best,yolo/full/NEU-DET_yolov8s_best.pt,pt,22.53
NEU-DET_yolov8s_best_float16,yolo/full/NEU-DET_yolov8s_best_saved_model/NEU-DET_yolov8s_best_float16.tflite,tflite,22.43
NEU-DET_yolov8s_best_float32,yolo/full/NEU-DET_yolov8s_best_saved_model/NEU-DET_yolov8s_best_float32.tflite,tflite,44.77
NEU-DET_yolov8s_int8,yolo/quantized/NEU-DET_yolov8s_int8.onnx,onnx,11.54
